k,bic,aic
3,57138.06037507899,56481.97378827519
4,56960.22867724779,56083.653975206646
5,56693.85383465954,55596.79101738105
6,56521.5203391271,55203.96940661127
7,56758.812450568534,55220.773402815365
8,57084.95654887041,55326.4293858799
9,57161.2984545599,55182.28317633204
10,57345.11206103182,55145.608667566616
11,57535.44841310864,55115.4569044061
12,57696.101088161085,55055.6214642212
13,57994.43175431784,55133.46401514061
14,58009.17959103098,54927.72373661641
15,58268.14234705123,54966.19837739932
16,58427.43643225156,54905.00434736231
17,58797.509902664,55054.5897025374
18,58795.44989353531,54832.04157817137
19,59004.18440218933,54820.28797158804
20,59385.5253710749,54981.140825236274
